Symbol,Name,Country,Date,Type,Last,Unit,URL,Importance,Forecast1,ForecastDate1,Forecast2,ForecastDate2,Forecast3,ForecastDate3,Forecast4,ForecastDate4
USDPHP:CUR,USDPHP,Philippines,2024-11-22T12:05:37,currency,58.9425,,/philippines/currency,43,59.065552,31/12/2024,59.371104,31/03/2025,59.682532,30/06/2025,59.99396,30/09/2025
USDCLP:CUR,USDCLP,Chile,2024-11-22T12:05:30,currency,976.88,,/chile/currency,45,968.80465,31/12/2024,981.90048,31/03/2025,995.0919,30/06/2025,1008.57009,30/09/2025
USDPKR:CUR,USDPKR,Pakistan,2024-11-22T12:05:37,currency,279.23861,,/pakistan/currency,46,279.2895,31/12/2024,280.679,31/03/2025,282.09629,30/06/2025,283.51358,30/09/2025
USDIQD:CUR,USDIQD,Iraq,2024-11-22T12:05:44,currency,1316.10611,,/iraq/currency,50,1314.199707,31/12/2024,1318.130513,31/03/2025,1322.06132,30/06/2025,1326.123154,30/09/2025
USDDZD:CUR,USDDZD,Algeria,2024-11-22T12:05:43,currency,134.299,,/algeria/currency,51,134.20174,31/12/2024,134.616479,31/03/2025,135.031219,30/06/2025,135.459338,30/09/2025
USDKZT:CUR,USDKZT,Kazakhstan,2024-11-22T12:03:41,currency,499.2,,/kazakhstan/currency,52,495.49662,31/12/2024,498.84324,31/03/2025,502.239075,30/06/2025,505.684125,30/09/2025
USDQAR:CUR,USDQAR,Qatar,2024-11-22T12:05:38,currency,3.66268,,/qatar/currency,53,3.647781,31/12/2024,3.655062,31/03/2025,3.662343,30/06/2025,3.669624,30/09/2025
USDCZK:CUR,USDCZK,Czech Republic,2024-11-22T12:04:55.89,currency,24.3386,,/czech-republic/currency,54,23.742722,31/12/2024,23.9265,31/03/2025,24.110278,30/06/2025,24.296413,30/09/2025
USDPEN:CUR,USDPEN,Peru,2024-11-22T12:05:32,currency,3.816,,/peru/currency,55,3.798405,31/12/2024,3.82331,31/03/2025,3.848593,30/06/2025,3.874252,30/09/2025
USDRON:CUR,USDRON,Romania,2024-11-22T12:05:38,currency,4.7777,,/romania/currency,56,4.652931,31/12/2024,4.679763,31/03/2025,4.707057,30/06/2025,4.734351,30/09/2025
USDVND:CUR,USDVND,Vietnam,2024-11-22T10:04:39,currency,25430,,/vietnam/currency,58,25458.6165,31/12/2024,25532.233,31/03/2025,25605.8495,30/06/2025,25682.0045,30/09/2025
USDBDT:CUR,USDBDT,Bangladesh,2024-11-22T12:05:36,currency,120.05405,,/bangladesh/currency,60,120.425881,31/12/2024,121.334304,31/03/2025,122.242728,30/06/2025,123.151151,30/09/2025
USDHUF:CUR,USDHUF,Hungary,2024-11-22T12:04:52.57,currency,394.454,,/hungary/currency,61,385.16301,31/12/2024,388.750182,31/03/2025,392.375515,30/06/2025,396.000848,30/09/2025
USDUAH:CUR,USDUAH,Ukraine,2024-11-22T12:05:40,currency,41.47665,,/ukraine/currency,62,41.73383,31/12/2024,41.982739,31/03/2025,42.235797,30/06/2025,42.488855,30/09/2025
USDAOA:CUR,USDAOA,Angola,2024-11-22T05:12:02,currency,917.682,,/angola/currency,63,923.350725,31/12/2024,931.043025,31/03/2025,938.735325,30/06/2025,946.5192,30/09/2025
USDMAD:CUR,USDMAD,Morocco,2024-11-22T12:05:29,currency,10.04732,,/morocco/currency,64,9.860627,31/12/2024,9.926253,31/03/2025,9.992859,30/06/2025,10.060445,30/09/2025
USDOMR:CUR,USDOMR,Oman,2024-11-22T12:05:32,currency,0.38498,,/oman/currency,68,0.385539,31/12/2024,0.386078,31/03/2025,0.386617,30/06/2025,0.387156,30/09/2025
USDCUC:CUR,USDCUC,Cuba,2024-11-21T00:00:00,currency,24,,/cuba/currency,69,24,31/12/2024,24,31/03/2025,24,30/06/2025,24,30/09/2025
USDBYR:CUR,USDBYN,Belarus,2024-11-22T12:05:46,currency,3.28774,,/belarus/currency,70,3.279927,31/12/2024,3.286474,31/03/2025,3.29302,30/06/2025,3.299567,30/09/2025
USDAZN:CUR,USDAZN,Azerbaijan,2024-11-22T12:04:37,currency,1.7,,/azerbaijan/currency,71,1.7017,31/12/2024,1.7034,31/03/2025,1.7051,30/06/2025,1.7068,30/09/2025
USDLKR:CUR,USDLKR,Sri Lanka,2024-11-22T12:05:28,currency,292.29513,,/sri-lanka/currency,72,294.495022,31/12/2024,295.872673,31/03/2025,297.279637,30/06/2025,298.657288,30/09/2025
